headlines,posted_time,tokens,labels,secondary_labels,kmeans_3_labels
Wade matches King for 42nd on scoring list in win,2016-02-01,"['wade', 'match', 'king', '42nd', 'scoring', 'list', 'win']",0,0,0
"Chick Hearn's widow, Marge Hearn, dies at 98",2016-01-31,"['chick', 'hearns', 'widow', 'marge', 'hearn', 'dy', '98']",0,0,0
Wittman to miss 2 games after brother's death,2016-01-31,"['wittman', 'miss', '2', 'game', 'brother', 'death']",0,0,0
LeBron atones for wardrobe mismatch vs. Spurs,2016-01-31,"['lebron', 'atones', 'wardrobe', 'mismatch', 'v', 'spur']",0,0,1
Source: Rockets petition to rescind Howard's techs,2016-01-31,"['source', 'rocket', 'petition', 'rescind', 'howard', 'tech']",0,0,0
Lowe: Maybe the Clippers should trade Blake Griffin,2016-01-31,"['lowe', 'maybe', 'clipper', 'trade', 'blake', 'griffin']",0,0,0
"Mavs top Nets 91-79, Williams struggles against old team",2016-01-31,"['mavs', 'top', 'net', '9179', 'williams', 'struggle', 'old', 'team']",0,0,0
LeBron powers high-octane Cavs past Spurs,2016-01-31,"['lebron', 'power', 'highoctane', 'cavs', 'past', 'spur']",0,0,0
Rockets' Bickerstaff rips officials after loss to Wiz,2016-01-31,"['rocket', 'bickerstaff', 'rip', 'official', 'loss', 'wiz']",0,0,0
Cousins suffers left ankle sprain in Kings' loss,2016-01-31,"['cousin', 'suffers', 'left', 'ankle', 'sprain', 'king', 'loss']",0,0,0
"Pelton: Love is solution, not problem, for Cavs",2016-01-31,"['pelton', 'love', 'solution', 'problem', 'cavs']",0,0,0
Warriors need last-second 3 to thwart 76ers,2016-01-31,"['warrior', 'need', 'lastsecond', '3', 'thwart', '76ers']",0,0,2
Sources: League's Griffin investigation ongoing,2016-01-30,"['source', 'league', 'griffin', 'investigation', 'ongoing']",0,1,0
Davis cleared to play vs. Nets after concussion,2016-01-30,"['davis', 'cleared', 'play', 'v', 'net', 'concussion']",0,0,1
Mock Draft: Ben Simmons still the No. 1 pick?,2016-01-30,"['mock', 'draft', 'ben', 'simmons', 'still', '1', 'pick']",0,0,0
"Wright/McMenamin: Even elite Spurs, Cavs have issues",2016-01-30,"['wrightmcmenamin', 'even', 'elite', 'spur', 'cavs', 'issue']",0,0,0
High post: Cliff Robinson opening pot business,2016-01-30,"['high', 'post', 'cliff', 'robinson', 'opening', 'pot', 'business']",0,0,0
Hornets' Kidd-Gilchrist nets 13 in season debut,2016-01-30,"['hornet', 'kiddgilchrist', 'net', '13', 'season', 'debut']",0,0,0
Rivers on Griffin fallout: 'You have to forgive',2016-01-30,"['river', 'griffin', 'fallout', 'forgive']",0,0,0
Cavaliers' Lue surprised by Love's All-Star snub,2016-01-30,"['cavalier', 'lue', 'surprised', 'love', 'allstar', 'snub']",0,0,0
"Melo, Porzingis return, lead Knicks over Suns",2016-01-30,"['melo', 'porzingis', 'return', 'lead', 'knicks', 'sun']",0,0,0
Suns sign McRae after D-League scoring barrage,2016-01-30,"['sun', 'sign', 'mcrae', 'dleague', 'scoring', 'barrage']",0,0,0
Watkins: The magic of Trevor Ariza,2016-01-29,"['watkins', 'magic', 'trevor', 'ariza']",0,0,0
Young: OKC faces gut-check part of schedule,2016-01-29,"['young', 'okc', 'face', 'gutcheck', 'part', 'schedule']",0,0,0
Yao among Basketball without Borders instructors,2016-01-29,"['yao', 'among', 'basketball', 'without', 'border', 'instructor']",0,0,0
"Knicks duo of Carmelo, Porzingis return to lineup",2016-01-29,"['knicks', 'duo', 'carmelo', 'porzingis', 'return', 'lineup']",0,0,0
Meet sculptors who'll make Shaq's statue fly,2016-01-29,"['meet', 'sculptor', 'wholl', 'make', 'shaqs', 'statue', 'fly']",0,0,0
Riley: LeBron never requested Spoelstra be fired,2016-01-29,"['riley', 'lebron', 'never', 'requested', 'spoelstra', 'fired']",0,0,0
"Wiggins, Towns, Porzingis get Rising Stars invite",2016-01-29,"['wiggins', 'town', 'porzingis', 'get', 'rising', 'star', 'invite']",0,0,0
"Should Heat, Bulls or Lakers trade for Melo?",2016-01-29,"['heat', 'bull', 'lakers', 'trade', 'melo']",0,0,0
Wizards hold players-only meeting amid slide,2016-01-29,"['wizard', 'hold', 'playersonly', 'meeting', 'amid', 'slide']",0,0,0
"Curry sees G.S., Panthers wins on SB weekend",2016-01-29,"['curry', 'see', 'g', 'panther', 'win', 'sb', 'weekend']",0,0,0
Bulls top Lakers 114-91 in Pau's last Staples date with Kobe,2016-01-29,"['bull', 'top', 'lakers', '11491', 'paus', 'last', 'staple', 'date', 'kobe']",0,0,0
"Green, Thompson give Warriors trio of All-Stars",2016-01-29,"['green', 'thompson', 'give', 'warrior', 'trio', 'allstars']",0,0,2
Forsberg: All-Star nod big feat for little guy Isaiah Thomas,2016-01-29,"['forsberg', 'allstar', 'nod', 'big', 'feat', 'little', 'guy', 'isaiah', 'thomas']",0,0,0
Indiana finds right combination to put away Hawks 111-92,2016-01-28,"['indiana', 'find', 'right', 'combination', 'put', 'away', 'hawk', '11192']",0,0,0
OTL: Leagues strike deals with gambling firms,2016-01-28,"['otl', 'league', 'strike', 'deal', 'gambling', 'firm']",0,0,0
Carmelo to sit vs. Raptors with eye on Friday,2016-01-28,"['carmelo', 'sit', 'v', 'raptor', 'eye', 'friday']",0,0,1
Arnovitz: What's behind Raptors' formula for run at East crown,2016-01-28,"['arnovitz', 'whats', 'behind', 'raptor', 'formula', 'run', 'east', 'crown']",0,0,0
"Pelton: My East, West All-Star ballot",2016-01-28,"['pelton', 'east', 'west', 'allstar', 'ballot']",0,0,0
When things get weird at all-star games,2016-01-28,"['thing', 'get', 'weird', 'allstar', 'game']",0,0,0
"Bulls' Rose cleared, will play against Lakers",2016-01-28,"['bull', 'rose', 'cleared', 'play', 'lakers']",0,0,0
Warriors' new arena will be called Chase Center,2016-01-28,"['warrior', 'new', 'arena', 'called', 'chase', 'center']",0,0,2
Begley: Knicks still trying to find their identity,2016-01-28,"['begley', 'knicks', 'still', 'trying', 'find', 'identity']",0,0,0
"After 3 games, Lue tabbed as East's ASG coach",2016-01-28,"['3', 'game', 'lue', 'tabbed', 'east', 'asg', 'coach']",0,0,0
Windhorst: Is LeBron a killer of coaches?,2016-01-28,"['windhorst', 'lebron', 'killer', 'coach']",0,0,0
Lakers to honor Shaq with statue outside Staples,2016-01-28,"['lakers', 'honor', 'shaq', 'statue', 'outside', 'staple']",0,0,0
Thompson's big night steers Warriors past Mavs,2016-01-28,"['thompson', 'big', 'night', 'steer', 'warrior', 'past', 'mavs']",0,0,2
5-on-5: Forecasting Warriors' next loss,2016-01-28,"['5on5', 'forecasting', 'warrior', 'next', 'loss']",0,0,2
"Wanting to 'lock in,' Aldridge leaves social media",2016-01-28,"['wanting', 'lock', 'aldridge', 'leaf', 'social', 'medium']",0,0,0
Popovich humbled to coach West All-Stars again,2016-01-28,"['popovich', 'humbled', 'coach', 'west', 'allstars']",0,0,0
Popovich gives no timetable for Duncan's return,2016-01-28,"['popovich', 'give', 'timetable', 'duncan', 'return']",0,0,0
"Spurs rebound from loss to Warriors, pound Rockets",2016-01-28,"['spur', 'rebound', 'loss', 'warrior', 'pound', 'rocket']",0,0,2
LeBron calls 'coach killer' criticism 'misconstrued',2016-01-28,"['lebron', 'call', 'coach', 'killer', 'criticism', 'misconstrued']",0,0,0
"Mirotic has appendectomy, to return after ASG",2016-01-27,"['mirotic', 'appendectomy', 'return', 'asg']",0,0,0
Wright/Watkins: Why the Spurs own home,2016-01-27,"['wrightwatkins', 'spur', 'home']",0,0,0
"Top 50 debate: Westbrook, Iverson and Walton",2016-01-27,"['top', '50', 'debate', 'westbrook', 'iverson', 'walton']",0,0,0
Giannis displaying elite fantasy skill set,2016-01-27,"['giannis', 'displaying', 'elite', 'fantasy', 'skill', 'set']",0,0,0
Rockets' Howard returns vs. Duncan-less Spurs,2016-01-27,"['rocket', 'howard', 'return', 'v', 'duncanless', 'spur']",0,0,1
Griffin apologizes; Doc calls incident 'frustrating',2016-01-27,"['griffin', 'apologizes', 'doc', 'call', 'incident', 'frustrating']",0,0,0
"Smith, Covington lift suddenly decent 76ers past Phoenix",2016-01-27,"['smith', 'covington', 'lift', 'suddenly', 'decent', '76ers', 'past', 'phoenix']",0,0,0
Kobe on shoulder: 'Couldn't really move the thing',2016-01-27,"['kobe', 'shoulder', 'couldnt', 'really', 'move', 'thing']",0,0,0
"Lowry exits win with wrist injury, says he's 'fine'",2016-01-27,"['lowry', 'exit', 'win', 'wrist', 'injury', 'say', 'he', 'fine']",0,0,0
Anthony (knee) misses Knicks' OT loss to Thunder,2016-01-26,"['anthony', 'knee', 'miss', 'knicks', 'ot', 'loss', 'thunder']",0,0,0
"Wizards' Beal out with broken nose, concussion",2016-01-26,"['wizard', 'beal', 'broken', 'nose', 'concussion']",0,0,0
Pelton: Clippers better without Blake Griffin?,2016-01-26,"['pelton', 'clipper', 'better', 'without', 'blake', 'griffin']",0,0,0
Noah hopes to be back with Bulls next season,2016-01-26,"['noah', 'hope', 'back', 'bull', 'next', 'season']",0,0,0
Duncan (knee) to sit again Wednesday vs. Rockets,2016-01-26,"['duncan', 'knee', 'sit', 'wednesday', 'v', 'rocket']",0,0,1
Begley: Knicks no shot at Durant ... or do they?,2016-01-26,"['begley', 'knicks', 'shot', 'durant']",0,0,0
"Steph, NASCAR drivers loved the Panthers' big win",2016-01-26,"['steph', 'nascar', 'driver', 'loved', 'panther', 'big', 'win']",0,0,0
Sources: Griffin hurt in fight with equipment staffer,2016-01-26,"['source', 'griffin', 'hurt', 'fight', 'equipment', 'staffer']",0,1,0
"Cavaliers not looking to trade Love, GM says",2016-01-26,"['cavalier', 'looking', 'trade', 'love', 'gm', 'say']",0,0,0
Heat assistant Smart on leave for cancer treatment,2016-01-26,"['heat', 'assistant', 'smart', 'leave', 'cancer', 'treatment']",0,0,0
Lowe: Utah's long journey to relevance,2016-01-26,"['lowe', 'utah', 'long', 'journey', 'relevance']",0,0,0
Sources: Griffin hurt hand in team-related incident,2016-01-26,"['source', 'griffin', 'hurt', 'hand', 'teamrelated', 'incident']",0,1,0
Lakers' Nance (knee) rules out '16 dunk contest,2016-01-26,"['lakers', 'nance', 'knee', 'rule', '16', 'dunk', 'contest']",0,0,0
"Curry, Warriors rout Spurs in West showdown",2016-01-26,"['curry', 'warrior', 'rout', 'spur', 'west', 'showdown']",0,0,2
"Bulls' Rose exits with back, hamstring issues",2016-01-26,"['bull', 'rose', 'exit', 'back', 'hamstring', 'issue']",0,0,0
"Durant dubs Porzingis a 'unicorn' of size, skill",2016-01-26,"['durant', 'dub', 'porzingis', 'unicorn', 'size', 'skill']",0,0,0
Pelicans star Davis to be tested for concussion,2016-01-26,"['pelican', 'star', 'davis', 'tested', 'concussion']",0,0,0
Wolves' Garnett out with sore knee vs. Cavs,2016-01-25,"['wolf', 'garnett', 'sore', 'knee', 'v', 'cavs']",0,0,1
Kidd leads first Bucks practice since hip surgery,2016-01-25,"['kidd', 'lead', 'first', 'buck', 'practice', 'since', 'hip', 'surgery']",0,0,0
